609,641,0,603,579,BACHILLERATO EN CIENCIAS SOCIALES Y HUMANIDADES - UDP
592,537,0,578,496,BACHILLERATO EN HUMANIDADES - UDD
569,583,572,607,414,SOCIOLOGÍA - UDP
624,670,651,0,661,|||KINESIOLOGIA - UCH|
448,531,461,0,481,TECNOLOGIA MEDICA - UTA
535,440,431,485,641,GEOLOGIA - UDEC
499,527,0,578,496,BACHILLERATO EN HUMANIDADES - UAH
581,594,575,0,599,NUTRICION Y DIETETICA - UFRO
691,516,626,0,558,ING. DE EJEC. EN INDUSTRIA - USACH
691,594,717,0,620,|||ING. EN INF. Y CONTROL DE GESTIÓN - UCH|
637,655,670,607,723,|||CONTADOR AUDITOR - UCH|
506,558,0,556,496,DERECHO - ULS
620,594,634,0,599,ING. DE EJEC. EN MINAS - USACH
518,537,520,0,414,MEDICINA VETERINARIA - UNAB
691,635,708,0,702,GEOLOGIA - UDEC
548,453,548,0,496,|||INGENIERIA CIVIL EN INFORMATICA - UACH|
493,510,461,531,620,|||TERAPIA OCUPACIONAL - UPA|
606,563,628,0,579,TECNOLOGIA MEDICA CON MENCION - LIC. - UCH
506,477,483,0,414,MEDICINA VETERINARIA (CHILLAN) - UDEC
524,483,473,537,519,PSICOLOGIA - PUCV
651,725,681,590,785,MEDICINA - UFRO
600,510,538,504,538,GEOLOGÍA - UNAB
569,704,623,0,620,ODONTOLOGIA. LICENCIADO  EN CIENCIAS ODONTOLOGICAS - UANT
493,704,0,590,496,PSICOLOGIA - UCN
596,583,0,627,496,PEDAGOGIA EN FILOSOFIA Y/O LICENCIATURA EN FILOSOFIA - PUCV
581,694,0,707,579,DERECHO - UCN
561,440,492,0,517,ENFERMERÍA - UDP
592,678,0,640,702,TRABAJO SOCIAL - UC
592,552,605,0,579,ENFERMERIA - UFRO
513,662,0,707,478,PEDAGOGIA EN HISTORIA Y CS.SOCIALES - UV
576,622,507,0,641,INGENIERIA CIVIL DE MINAS - UTFSM
656,600,579,0,579,ING. CIVIL EN INDUSTRIA - USACH
561,343,473,0,558,OBSTETRICIA - UNAB
518,460,0,546,662,INGENIERIA COMERCIAL - UFRO
557,527,538,0,455,INGENIERÍA CIVIL GEOLÓGICA - UCT
708,611,0,578,682,COLLEGE CIENCIAS SOCIALES - UC
644,611,684,0,580,ENFERMERIA - USACH
485,531,0,485,601,PEDAGOGIA EN LENGUA CASTELLANA Y COMUNICACION - UCM
627,501,514,0,558,INGENIERIA CIVIL INFORMATICA - UDEC
543,635,0,663,580,PSICOLOGIA - UV
573,472,532,485,435,GEOLOGÍA - UNAB
513,516,514,0,682,NUTRICION Y DIETETICA - UBB
624,780,0,678,641,PEDAGOGIA EN INGLES / LIC EN EDUC EN INGLÉS - USACH
529,453,414,419,620,NUTRICION Y DIETETICA - UCM
529,548,499,485,517,TRABAJO SOCIAL - UTEM
